%vehicle;startx;starty;starttime;endx;endy;endtime;box;operation
Vehicle0;10;100;75020;270;100;75285;B414;PL
Vehicle0;270;100;75285;600;100;75620;B413;PL
Vehicle0;600;100;75620;10;100;76215;B415;PU
Vehicle0;10;100;76215;10;100;76220;B416;PU
Vehicle0;10;100;76220;320;100;76535;B416;PL
Vehicle0;320;100;76535;760;100;76980;B415;PL
Vehicle0;760;100;76980;0;100;77745;B417;PU
Vehicle0;0;100;77745;0;100;77750;B418;PU
Vehicle0;0;100;77750;450;100;78205;B418;PL
Vehicle0;450;100;78205;690;100;78450;B417;PL
Vehicle0;690;100;78450;10;100;79135;B419;PU
Vehicle0;10;100;79135;260;100;79390;B419;PL
